location,address
Pennsuaken Country Club,"3800 Haddonfield Rd., Pennsauken NJ, 08109"
Pinelands Golf Course,"887 S. Mays Landing Rd., Winslow Township NJ, 08037"
Washington Twp. Municipal,"197 Fries Mill Rd., Turnersville NJ, 08012"
Golf Land,"801 Rt. 561, Voorhees NJ, 08043"
Tavistock Country Club,"100 Tavistock Ln, Haddonfield NJ, 08033"
Fox Meadow Golf Center,"2880 Route 73 North, Maple Shade NJ, 08052"
Little Pond Golf Center,"111 Chews Landing Road, Clementon NJ, 08021"
Wallworth Park,"Kings Highway and Brace Road, Cherry Hill and Haddonfield NJ, 08002"
Wiggins Park Marina,"Dr Martin Luther King Blvd, Camden NJ, 08103"
Wiggins Waterfront Park,"Dr. Martin Luther King Boulevard, Camden NJ, 08103"
Valleybrook Country Club,"200 Golfview Drive, Blackwood NJ, 08012"
Berlin Park,"White Horse Pike, New Freedom Road and Park Drive, Berlin NJ, 08009"
Camden County Golf Academy,"8001 South Route 130, Pennsauken NJ, 08110"
Challenge Grove Park,"Bortons Mill & Caldwell Roads, Cherry Hill NJ, 08034"
Cooper River Park,"579 S Park Drive, Collingswood NJ, 08109"
Haddon Lake Park,"Station Avenue to 10th Avenue and from Kings Highway to the Black Horse Pike, Haddon Heights, Audubon and Mount Ephraim NJ, 08106"
Hopkins Pond,"Off Grove Street and Hopkins Lane, Haddonfield NJ, 08033"
Pennypacker Park,"Kings Highway, Park Boulevard and Grove Street, Haddonfield NJ, 08033"
Walt Whitman House,"330 Mickle Boulevard, Camden NJ, 08103"
Battleship New Jersey,"62 Battleship Place, Camden NJ, 08103"
Camden Shipyard & Maritime Museum,"1910 Broadway, Camden NJ, 08104"
Indian King Tavern Museum,"233 Kings Highway East, Haddonfield NJ, 08033"
Hadrosaurus,"2 King's Court, Haddonfield NJ, 08033"
Peter Mott House,"26 Kings Court, Lawnside NJ, 8045"
